name;period;year;sy;include;area;ssy
Bellewaardebeek;1992-1995;1999;2384;0;1050;2.3
Broenbeek;1986-1989;1999;1381;1;2338.129315;0.590643123
Ciplet;1996-1999;1999;301;0;151;2
Douvebeek;1993-1996;1999;5514;1;2653.033135;2.078375851
Etikhove;2003-2009/2015-2016/2019-2020;2009;440;1;266.72;1.63
Ganspoel;1989-1992/1996-1999;1999;420;1;111.88;3.754022167
Hammeveld_1;1988-1999;1999;171;0;30.08;5.684840426
Hammeveld_2;1989-1992;1999;277;0;29.47;9.399389209
Hannut;1996-1999;199;177;0;73;2.3
Heks;2006-2008;2007;384;0;860;0.5
Heulegracht;2006-2017;2011;166;1;196.44;0.845041743
Holsbeek;1988-1999;1999;1053;0;226.28;4.653526604
Huise_afwaarts;2003-2008;2005;515;0;538;1
Huise_opwaarts;2002-2009;2005;909;1;510.06;1.782143277
Kemmelbeek;1936-1982;1999;3005;1;1180.601565;2.545312567
Kerniel;2007-2009;2008;737;1;176.84;4.167609138
Kinderveld;1989-1992/1996-1999;1999;862;1;257.12;3.352520224
Leupegem;2003-2009/2013-2016/2018-2020;2009;6601;0;4986.923082;1.32
Maarke_kerkem_broekbeek;2003-2009/2015-2020;2009;223;1;218.36;1.02
Maarke_kerkem_Molenbeek;2002-2018;2009;6600;1;2810.92;2.347985713
Montenaken;2008;2008;165;0;293;0.6
Miele_boven_Aalst;2006-2017;2011;421;1;860.9226626;0.489010242
Muizen;2006-2007/2015-2017/2019-2020;2011;696;1;1616.887;0.433
Munkbosbeek;1993-1999;1999;1289;1;1192.805462;1.080645622
Neerwinden;2006-2008;2007;4;0;304;0
Nerm;1996-1999;1999;411;0;17.78285375;23.11215095
Nossegem;1996-1998;1999;723;0;316.52;2.284215847
Nukerke;2003-2009/2015-2020;2009;743;1;401.44;1.85
Piringen;2006-2017;2011;397;1;717.8957812;0.553005061
Ronebeek;1993-1995;1999;666;1;820.1;0.812096086
Rooigembeek;1996-1999;1999;3123;1;1483.56;2.105071585
St_Jansbeek;1991-1995;1999;1852;1;4757.247431;0.389300752
Steenbeek;1993-1995;1999;1049;1;1879.184008;0.558221013
Sterrebeek;1996-1998;1999;55;1;20.83919322;2.639257644
Ter_Erpenbeek;1991-1995;1999;785;1;1161.16;0.67604809
Vechmaal;2006-2009;2008;121;0;502.48;0.240805604
Velm;2006-2008/2015-2016/2018-2020;2011;521;1;2986.430913;0.172
Wolvengracht;1996-1999;1999;473;1;163.52;2.892612524
Zouwbeek;1994-1996;1999;1988;1;1372.9;1.448029718
Zwedebeek;1991-1995;1999;282;1;165.88;1.700024114
Langegracht;2015-2019;2017;643;0;843;0.763
