CNmaxID;CNmax_1;CNmax_2;CNmax_3;CNmax_4
1000;77;86;91;94
1011;76;85;90;93
1031;74;83;88;90
2110;72;81;88;91
2130;67;78;85;89
2111;71;80;87;90
2131;64;75;82;85
2210;70;79;84;88
2230;65;75;82;86
2211;69;78;83;87
2231;64;74;81;85
3110;65;76;84;88
3130;63;75;83;87
3111;64;75;83;86
3131;60;72;80;84
3210;63;74;82;85
3230;61;73;81;84
3211;62;73;81;84
3231;60;72;80;83
4110;66;77;85;89
4130;58;72;81;85
4210;64;75;83;85
4230;55;69;78;83
5010;68;79;86;89
5020;49;69;79;84
5030;39;61;74;80
6000;30;58;71;78
7010;48;67;77;83
7020;35;56;70;77
7030;30;48;65;73
8010;57;73;82;86
8020;43;65;76;82
8030;32;58;72;79
9010;45;66;77;83
9020;36;60;73;79
9030;30;55;70;77
10000;99;99;99;99
11000;0;0;0;0
